name,telNum,neighborhood,address,hh_sun,hh_mon,hh_tues,hh_wed,hh_thurs,hh_fri,hh_sat
1020 Bar,(212) 531-3468,Manhattan Valley,"1020 Amsterdam Ave., New York, NY 10025",4PM-7PM,4PM-7PM,4PM-7PM,4PM-7PM,4PM-7PM,4PM-7PM,4PM-7PM
11th Street Bar,(212) 982-3929,East Village,"510 E 11th St., New York, NY 10009",,,,,,,
121 Fulton Street,(646) 545-6647,Financial District,"121 Fulton St., New York, NY 10038",,,,,,,
123 Burger Shot Beer,(212) 315-0123,Hell's Kitchen,"738 10th Ave., New York, NY 10019",11AM-8PM,11AM-8PM|8PM-12AM,11AM-8PM|8PM-12AM,11AM-8PM|8PM-12AM,11AM-8PM|8PM-12AM,11AM-8PM,11AM-8PM
124 Old Rabbit Club,(212) 254-0575,Greenwich Village,"124  MacDougal St., New York, NY 10012",,,,,,,
169 Bar,(646) 833-7199,Lower East Side,"169 East Broadway, New York, NY 10002",1PM-7:30PM,1PM-7:30PM,1PM-7:30PM,1PM-7:30PM,1PM-7:30PM,1PM-7:30PM,1PM-7:30PM
1742 Wine Bar,(212) 427-1010,Upper East Side,"1742 2nd Ave., New York, NY 10128",,,,,,,
181 Cabrini,(212) 923-2233,Washington Heights,"854 W 181st St., New York, NY 10033",,,,,,,
200 Fifth,(718) 638-2925,Park Slope,"200 5th Ave., Brooklyn, NY 11217",,,,,,,
21 Club,(212) 582-7200,Midtown West,"21 W 52nd St., New York, NY 10019",,,,,,,
212 Hisae's,(212) 614-3226,East Village,"212 E 9th St., New York, NY 10003",,,,,,,
230 Fifth,(212) 725-4300,Flatiron,"230 Fifth Ave., New York, NY 10001",,,,,,,
280 Cafe & Lounge,(718) 366-2002,Bushwick,"280 Knickerbocker Ave., Brooklyn, NY 11237",,4PM-7PM,4PM-7PM,4PM-7PM,4PM-7PM,4PM-7PM,
2A,(212) 505-2466,East Village,"25 Ave. A, New York, NY 10009",4PM-8PM,4PM-8PM,4PM-8PM,4PM-8PM,4PM-8PM,4PM-8PM,4PM-8PM
3 Sheets Saloon,(212) 777-1733,Greenwich Village,"134 W 3rd St., New York, NY 10012",12PM-Close,2PM-8PM|8PM-Close,2PM-8PM|8PM-Close,2PM-8PM|8PM-Close,2PM-8PM|8PM-Close,2PM-8PM,12PM-8PM|8PM-9PM
40/40 Club,(212) 832-4040,Flatiron,"6 W 25th St., New York, NY 10010",,,,,,,
42nd Street Pizza,(212) 594-4312,Midtown West,"647 W 42nd St., New York, NY 10036",,,,,,,
43 Bar & Grill,(718) 361-3090,Sunnyside,"4306 43rd St., Sunnyside, NY 11104",,,,,,,
44 & X,(212) 977-1170,Hell's Kitchen,"622 10th Ave., New York, NY 10036",,,,,,,
48 Lounge,(212) 554-4848,Theater District,"1221 Ave. Of The Americas, New York, NY 10020",,,,,,,
49 Grove,(212) 727-1100,West Village,"49 Grove St., New York, NY 10014",,,,,,,
4th Avenue Pub,(718) 643-2273,Park Slope,"76 4th Ave., Brooklyn, NY 11217",,3PM-8PM,3PM-8PM,3PM-8PM,3PM-8PM,3PM-8PM,
4th Down,(917) 744-6522,Williamsburg,"750 Grand St., Brooklyn, NY 11211",,2PM-7PM,2PM-7PM,2PM-7PM,2PM-7PM,2PM-7PM,
5 Bar Karaoke Lounge,(212) 594-6644,Koreatown,"38 W 32nd St., New York, NY 10016",3PM-8PM,3PM-8PM,3PM-8PM,3PM-8PM,3PM-8PM,,
5 Burro Cafe,(718) 544-2984,Forest Hills,"72-05 Austin St., Forest Hills, NY 11375",,,,,,,
5 Napkin Burger,(212) 757-2277,Hell's Kitchen,"630 9th Ave., New York, NY 10036",,,,,,,
5th & Mad,(212) 725-2353,Midtown East,"7 E 36th St., New York, NY 10016",,,,,,,
668 The Gigshack,(631) 668-2727,Montauk,"782 Main St., Montauk, NY 11954",,,,,,,
67 Orange Street,(212) 662-2030,Harlem,"2082 Frederick Douglas Blvd., New York, NY 10026",,,,,,,
68 Jay St Bar,(718) 260-8207,DUMBO,"68 Jay St., Brooklyn, NY 11201",,4PM-7PM,4PM-7PM,4PM-7PM,4PM-7PM,4PM-7PM,
8th Street Wine Cellar,(212) 260-9463,Greenwich Village,"28 W 8th St., New York, NY 10011",,,,,,,
99 Rogers,(718) 708-4933,Crown Heights,"99 Rogers Ave., Crown Heights, NY 11216",,,,,,,
9th Avenue Saloon,(212) 307-1503,Theater District,"656 9th Ave., New York, NY 10036",,,,,,,
A La Turka,(212) 744-2424,Yorkville,"1417 2nd Ave., New York, NY 10021",,,,,,,
ABA Turkish Restaurant,(212) 655-9368,Hell's Kitchen,"325 W 57th St., New York, NY 10019",,,,,,,
Abbey Pub,(212) 222-8713,Manhattan Valley,"237 W 105th St., New York, NY 10025",,,,,,,
Abbey Tavern,(212) 696-1011,Kips Bay,"354 3rd Ave., New York, NY 10010",,,,,,,
Abby Chinese Cuisine,(212) 725-8748,Murray Hill,"536 3rd Ave., New York, NY 10016",,,,,,,
ABC Cocina,(212) 677-2233,Flatiron,"38 E 19th St., New York, NY 10003",,,,,,,
ABC Kitchen,(212) 475-5829,Flatiron,"35 E 18th St., New York, NY 10003",,,,,,,
ABV,(212) 722-8959,East Harlem,"1504 Lexington Ave., New York, NY 10029",,,,,,,
Ace Bar,(212) 979-8476,East Village,"531 E 5th St., New York, NY 10009",,,,,,,
Acme,(212) 203-2121,NoHo,"9 Great Jones St., New York, NY 10012",,,,,,,
Adelina's,(347) 763-0152,Greenpoint,"159 Greenpoint Ave., Brooklyn, NY 11222",,,,,,,
